iter	Logloss
0	0.6876429273
1	0.6818223433
2	0.6753746132
3	0.6680492054
4	0.6630645356
5	0.6588607392
6	0.6521685712
7	0.6463762754
8	0.6418316333
9	0.6356444916
10	0.6289021876
11	0.6228403859
12	0.6187055513
13	0.613250237
14	0.6094780959
15	0.6051117042
16	0.5993131167
17	0.5965794155
18	0.5925336565
19	0.5884925545
20	0.585152465
21	0.5807302896
22	0.5780620823
23	0.5730527407
24	0.5692736143
25	0.565847917
26	0.5626692834
27	0.5594889653
28	0.5575022512
29	0.5533891653
30	0.549641795
31	0.5462337841
32	0.541838906
33	0.5387555407
34	0.5357878053
35	0.5332493968
36	0.5306859202
37	0.5278246
38	0.5259858169
39	0.5230397807
40	0.5191003378
41	0.515412665
42	0.5117029958
43	0.5096775897
44	0.5066023988
45	0.5046759766
46	0.502057509
47	0.4992918535
48	0.4963482448
49	0.4929126393
50	0.4897652168
51	0.4881075574
52	0.4852341491
53	0.4836379212
54	0.4809863598
55	0.4796142578
56	0.4778138198
57	0.4757191051
58	0.4726749767
59	0.4706356494
60	0.4685438577
61	0.4658591531
62	0.4640711004
63	0.4615396772
64	0.4593515768
65	0.4568977356
66	0.4548272467
67	0.452956757
68	0.4524567839
69	0.4503596913
70	0.4488979686
71	0.4470086531
72	0.4457515865
73	0.443892739
74	0.4425351031
75	0.4404420729
76	0.4390864186
77	0.437251797
78	0.4357396411
79	0.4345492078
80	0.4330473565
81	0.4318963583
82	0.4299997602
83	0.4278295938
84	0.4260554623
85	0.4253778829
86	0.4236535407
87	0.4224306082
88	0.4205830066
89	0.4192352295
90	0.4176652586
91	0.4168260252
92	0.4162799786
93	0.4142352761
94	0.4126974329
95	0.4113040775
96	0.4104225852
97	0.4093080496
98	0.4084032728
99	0.4070269597
100	0.4057659793
101	0.4047850819
102	0.4033109492
103	0.4019258673
104	0.4008570584
105	0.3995546366
106	0.3981313334
107	0.3972768907
108	0.3961259421
109	0.3948841838
110	0.3934200832
111	0.3925229357
112	0.3911352281
113	0.3900504174
114	0.3887470295
115	0.3876683124
116	0.3865343565
117	0.3853137029
118	0.3842783841
119	0.3830446268
120	0.3822669735
121	0.381126057
122	0.3797375568
123	0.3786320624
124	0.3781119755
125	0.3772972404
126	0.3764952127
127	0.3755990809
128	0.3743273747
129	0.3737754326
130	0.3724255995
131	0.3716659546
132	0.3708144597
133	0.3699223407
134	0.3693435966
135	0.3682368885
136	0.3670066239
137	0.3663315711
138	0.3650553319
139	0.3641181549
140	0.3632855106
141	0.3622494982
142	0.3615267865
143	0.3605309524
144	0.3595200576
145	0.3588555571
146	0.3579228884
147	0.3570363181
148	0.3562485583
149	0.3550763811
150	0.3541034847
151	0.3530727981
152	0.3521432753
153	0.3515099117
154	0.3506334974
155	0.3498280513
156	0.3488394007
157	0.3482479739
158	0.347900787
159	0.3477972947
160	0.3475098796
161	0.3467377254
162	0.3463263574
163	0.3454495219
164	0.3449912629
165	0.3443626057
166	0.3437307283
167	0.342945297
168	0.3421368537
169	0.3415106736
170	0.3408734706
171	0.3407336644
172	0.3397195246
173	0.339238526
174	0.3387627292
175	0.3378335779
176	0.3370481714
177	0.3365905068
178	0.3360786438
179	0.3353967047
180	0.334689227
181	0.3338332486
182	0.3329199506
183	0.3323247588
184	0.3316651629
185	0.3311207264
186	0.3306473323
187	0.3299185765
188	0.3295814217
189	0.3294503348
190	0.3289283406
191	0.3283338671
192	0.3276545042
193	0.3273184145
194	0.3270851482
195	0.3265611475
196	0.3255801758
197	0.3251305617
198	0.3243290294
199	0.3237869709
200	0.3232685931
201	0.3227553925
202	0.3222245303
203	0.3214667184
204	0.3209562921
205	0.3203872582
206	0.3199478248
207	0.3193467376
208	0.3187010629
209	0.3183969275
210	0.3177574455
211	0.3169383012
212	0.3165398139
213	0.3160281739
214	0.3155269375
215	0.3152315957
216	0.3148120533
217	0.3142796801
218	0.3137442353
219	0.3129997253
220	0.3123244248
221	0.3116187306
222	0.3108583426
223	0.3105616136
224	0.3099722181
225	0.3094530973
226	0.3088794064
227	0.3081091844
228	0.3076722281
229	0.3073513477
230	0.3067942037
231	0.3063641338
232	0.3059965852
233	0.3056492991
234	0.3051652537
235	0.3047373635
236	0.3042048417
237	0.3037203999
238	0.3035100466
239	0.3033006841
240	0.3026818114
241	0.302100194
242	0.3018688351
243	0.301342283
244	0.3008535311
245	0.2999399854
246	0.2993251503
247	0.2989348374
248	0.2983817063
249	0.2978333808
250	0.2972708368
251	0.2965661086
252	0.2962671007
253	0.2957033925
254	0.2951589312
255	0.29452153
256	0.2940150174
257	0.2937166536
258	0.2932464055
259	0.292926714
260	0.2924970652
261	0.2922242152
262	0.2917312523
263	0.291255406
264	0.2907952148
265	0.2902505057
266	0.2896616304
267	0.2891485784
268	0.2887972795
269	0.2884018143
270	0.2882537842
271	0.2877353321
272	0.2872506179
273	0.2869371687
274	0.2863267676
275	0.286143885
276	0.2858697966
277	0.2851197379
278	0.284816841
279	0.2845240011
280	0.2842828825
281	0.283569435
282	0.283417937
283	0.2831097888
284	0.2828215314
285	0.2825728825
286	0.2823368172
287	0.2820371157
288	0.2813906484
289	0.2809442297
290	0.2805917418
291	0.2800976146
292	0.279850452
293	0.279417137
294	0.2786910813
295	0.2782613333
296	0.2779538043
297	0.2776940086
298	0.2775720869
299	0.2770237613
300	0.2765471719
301	0.276263943
302	0.2762125684
303	0.2757775443
304	0.2753934984
305	0.2751434871
306	0.2747820569
307	0.2744061854
308	0.2740068807
309	0.2738788159
310	0.2734251642
311	0.2731052745
312	0.2725697059
313	0.272029307
314	0.2715053311
315	0.2711607698
316	0.2706007772
317	0.2700401405
318	0.2698567378
319	0.269476358
320	0.2692270155
321	0.2688039061
322	0.2683834472
323	0.2680288538
324	0.2677146367
325	0.2673145146
326	0.267118776
327	0.2668926189
328	0.2665009684
329	0.2660287139
330	0.2656790498
331	0.2651132856
332	0.2646607238
333	0.2643731353
334	0.2640742265
335	0.2636783649
336	0.2632033113
337	0.2628118094
338	0.2621390107
339	0.2617325473
340	0.2612786479
341	0.2608940323
342	0.2606493715
343	0.2602937129
344	0.2600983459
345	0.259860819
346	0.2593743461
347	0.2591199008
348	0.2585821771
349	0.2580748719
350	0.2579510181
351	0.2576142348
352	0.2576038806
353	0.2571640758
354	0.2566680165
355	0.2561346525
356	0.2558292538
357	0.255602527
358	0.2552019094
359	0.2549366394
360	0.2546496949
361	0.254273427
362	0.2537371152
363	0.2534354074
364	0.2533705575
365	0.2529686767
366	0.2524560953
367	0.2521014523
368	0.2519033853
369	0.25143715
370	0.2510070553
371	0.2510071792
372	0.2506303168
373	0.2502130038
374	0.2497675016
375	0.2493113728
376	0.2489947777
377	0.2486969093
378	0.2484109557
379	0.248147147
380	0.2478537869
381	0.2477904481
382	0.2474708062
383	0.2470956282
384	0.2470279793
385	0.2465867377
386	0.2463092061
387	0.2460348451
388	0.2457551337
389	0.2454860241
390	0.245176885
391	0.244858011
392	0.2448023016
393	0.2442848404
394	0.2439999766
395	0.2438242033
396	0.2435835306
397	0.2435523194
398	0.2432771163
399	0.2426952015
400	0.2423352576
401	0.24195842
402	0.2416122981
403	0.2413729878
404	0.2410869598
405	0.2407713803
406	0.240458377
407	0.2401344497
408	0.2396640034
409	0.2395738874
410	0.2395361368
411	0.2393827562
412	0.2388987355
413	0.2384937831
414	0.2381089941
415	0.2379859578
416	0.237866092
417	0.2377310666
418	0.2373406051
419	0.2370730561
420	0.2369386004
421	0.2366937414
422	0.2363344415
423	0.2358364254
424	0.2356093766
425	0.2352638245
426	0.2348407399
427	0.2347086869
428	0.2343527559
429	0.2338731691
430	0.2336478295
431	0.2333786457
432	0.2329322022
433	0.2324825386
434	0.2324396604
435	0.232080088
436	0.2317524699
437	0.2313514809
438	0.2310628024
439	0.2307771212
440	0.2305088291
441	0.2303828202
442	0.2300509168
443	0.2298962234
444	0.2297365511
445	0.2295880999
446	0.2292117082
447	0.2287141874
448	0.2284115878
449	0.2281744821
450	0.2279138937
451	0.2277026982
452	0.2271754277
453	0.2269196448
454	0.2264727803
455	0.2262531627
456	0.2260003276
457	0.2256784811
458	0.2256071908
459	0.2253647841
460	0.224952128
461	0.224778807
462	0.2245139085
463	0.2244034804
464	0.2240359566
465	0.2238011298
466	0.2234924614
467	0.2231427725
468	0.2230408161
469	0.2229267963
470	0.2226797327
471	0.2222223653
472	0.2219863248
473	0.2217085702
474	0.2215123115
475	0.2213842962
476	0.2210056503
477	0.2206588349
478	0.2202006253
479	0.2198241593
480	0.219724135
481	0.2194162344
482	0.2191958737
483	0.2189726148
484	0.2186329582
485	0.2184607023
486	0.2180540655
487	0.2177890431
488	0.2173866421
489	0.2170143127
490	0.216732471
491	0.2165667546
492	0.2163128791
493	0.2159930142
494	0.2157980188
495	0.2154687906
496	0.2152255665
497	0.2149639377
498	0.2146296068
499	0.2144119461
500	0.2142026332
501	0.213947098
502	0.2137973092
503	0.2135399162
504	0.2133014728
505	0.2129273353
506	0.2125727914
507	0.2122560724
508	0.2119982831
509	0.2117548856
510	0.2114175574
511	0.211266852
512	0.2110126297
513	0.2108376738
514	0.2105128301
515	0.2100514499
516	0.2098147405
517	0.2094926215
518	0.2092018127
519	0.2087554932
520	0.2086307476
521	0.2084439018
522	0.2079772949
523	0.2076009156
524	0.2072643181
525	0.2070651736
526	0.2065949502
527	0.2063186819
528	0.2061015909
529	0.2058366676
530	0.205539307
531	0.2053096078
532	0.2050550634
533	0.2049141549
534	0.2045985631
535	0.204474734
536	0.204314492
537	0.203995618
538	0.2037974519
539	0.2036748118
540	0.2034152638
541	0.2031379799
542	0.2030361225
543	0.2028220288
544	0.2026043929
545	0.2023584688
546	0.2021001345
547	0.2017401906
548	0.2015392378
549	0.2014323272
550	0.2009569639
551	0.2007623772
552	0.2005613748
553	0.2003306599
554	0.2001083671
555	0.1998464906
556	0.1996765261
557	0.1995494892
558	0.1992248188
559	0.1990202123
560	0.1986829089
561	0.1984392637
562	0.1982143452
563	0.1979192263
564	0.1976904683
565	0.1973526323
566	0.197013533
567	0.1968074898
568	0.1966688478
569	0.1964167434
570	0.1961354838
571	0.1958464957
572	0.1956202272
573	0.1952857971
574	0.1950256174
575	0.194822138
576	0.1945877818
577	0.1943538468
578	0.1941906941
579	0.1939274181
580	0.193679599
581	0.1935050271
582	0.1933608365
583	0.193056602
584	0.1929477593
585	0.1927175646
586	0.1924533968
587	0.1922684707
588	0.1921844978
589	0.1920008845
590	0.1918283314
591	0.1916511833
592	0.1915312804
593	0.191223962
594	0.1909845773
595	0.1909041714
596	0.1906197783
597	0.1903235819
598	0.1901712294
599	0.1901317324
600	0.190076345
601	0.1898326874
602	0.1897172556
603	0.1893726572
604	0.189117828
605	0.1889518391
606	0.1886470349
607	0.188404269
608	0.1882852331
609	0.1880731583
610	0.1878832285
611	0.1876338984
612	0.187476121
613	0.1871591791
614	0.1869916792
615	0.1867738947
616	0.1864477628
617	0.1862101245
618	0.1859520503
619	0.1857767601
620	0.1854982252
621	0.1851362501
622	0.1848589786
623	0.1845790318
624	0.1844871818
625	0.18439013
626	0.1841704629
627	0.1840492224
628	0.183934348
629	0.1837160432
630	0.1836659568
631	0.183364348
632	0.1831860852
633	0.1829268716
634	0.1827512469
635	0.1825575271
636	0.1822037387
637	0.1820136727
638	0.1817859674
639	0.1813473887
640	0.1812055266
641	0.1809875686
642	0.1807749612
643	0.1805032755
644	0.1802314412
645	0.1800046401
646	0.1798222653
647	0.1795374511
648	0.1792542098
649	0.1789982288
650	0.1788029361
651	0.1786272123
652	0.1784779685
653	0.1781705262
654	0.1780317851
655	0.1779494843
656	0.1777993116
657	0.1775858495
658	0.1773503043
659	0.1772092596
660	0.1769847127
661	0.1767712754
662	0.1765697281
663	0.1762855827
664	0.1760685413
665	0.1758943657
666	0.1756797023
667	0.1754000404
668	0.1752045867
669	0.1748978999
670	0.1747371376
671	0.1745652162
672	0.1744387862
673	0.1741333256
674	0.1738778647
675	0.1737419228
676	0.1736455397
677	0.1733696182
678	0.1730542245
679	0.1728087462
680	0.1725812144
681	0.172262873
682	0.1721610775
683	0.1720159952
684	0.1717721394
685	0.1715757197
686	0.1714356286
687	0.1713382176
688	0.1710771709
689	0.1708632011
690	0.1706953173
691	0.1704795392
692	0.1703604661
693	0.1702074819
694	0.1699496678
695	0.1696844473
696	0.169473004
697	0.1691322698
698	0.1690646828
699	0.1688221523
700	0.1685659235
701	0.1683876731
702	0.168242888
703	0.1680657523
704	0.1677744729
705	0.167707468
706	0.1675272731
707	0.1672666104
708	0.1670800865
709	0.1668924852
710	0.1665821571
711	0.1663574987
712	0.1661946804
713	0.1660228952
714	0.1657835477
715	0.1656785816
716	0.1654971234
717	0.1654198263
718	0.1652562154
719	0.1651327827
720	0.1649258601
721	0.164667947
722	0.1643243517
723	0.164216376
724	0.1639346333
725	0.1637966354
726	0.1635266837
727	0.1632279111
728	0.1631175821
729	0.1629392822
730	0.1627375367
731	0.1625509881
732	0.1624018682
733	0.1621098704
734	0.1618289948
735	0.1617680958
736	0.1616713041
737	0.1615849408
738	0.1613686301
739	0.1610874696
740	0.1609169353
741	0.1606648804
742	0.1605245912
743	0.1603477032
744	0.1600979149
745	0.1599652427
746	0.1597169901
747	0.1595760445
748	0.1594024262
749	0.159308223
750	0.1590969284
751	0.1589399932
752	0.1587231004
753	0.1585455808
754	0.1582542395
755	0.1580408022
756	0.1579085883
757	0.1576791119
758	0.1574219543
759	0.1573425392
760	0.157119045
761	0.1570140294
762	0.1568817411
763	0.1567479171
764	0.1566323615
765	0.1565156293
766	0.1564180696
767	0.1562846171
768	0.1561469041
769	0.1559540761
770	0.1557437971
771	0.1554734119
772	0.1552423874
773	0.1551326033
774	0.1550114124
775	0.1549174321
776	0.1548429217
777	0.1546106586
778	0.1544923039
779	0.1543591859
780	0.1541491174
781	0.1538799088
782	0.1537848634
783	0.1536742743
784	0.1535961845
785	0.1534062918
786	0.1532697801
787	0.1530256271
788	0.1528450483
789	0.1526264959
790	0.1524923498
791	0.1523527418
792	0.1521150292
793	0.1518548743
794	0.1517646096
795	0.1515980758
796	0.1514211878
797	0.1513181662
798	0.1511347139
799	0.1510652567
800	0.150833229
801	0.1505654446
802	0.150481125
803	0.1503853984
804	0.1502334297
805	0.1501145549
806	0.1500346444
807	0.1498902432
808	0.1497933896
809	0.1495883248
810	0.1493458438
811	0.1492401222
812	0.1491460181
813	0.1489423281
814	0.1488324946
815	0.1487273427
816	0.1484773314
817	0.1482970002
818	0.1480678707
819	0.1480195058
820	0.147916286
821	0.1478169924
822	0.1477253158
823	0.1475285369
824	0.147484445
825	0.1473972643
826	0.1473026523
827	0.1472228905
828	0.1471199927
829	0.1469207863
830	0.14684718
831	0.1466471561
832	0.1465139265
833	0.146367618
834	0.1462567812
835	0.1461693652
836	0.1461057911
837	0.1460130865
838	0.1458107341
839	0.1456002818
840	0.1454927643
841	0.1452924803
842	0.145153219
843	0.14494268
844	0.1448374042
845	0.1447412317
846	0.1446354358
847	0.1445740043
848	0.144520388
849	0.1442891158
850	0.1440914699
851	0.1440099369
852	0.1437146818
853	0.1435511329
854	0.1435158965
855	0.14332209
856	0.1432415355
857	0.1430540209
858	0.1428279629
859	0.1426801929
860	0.1424655171
861	0.1424234811
862	0.1423818415
863	0.1423031324
864	0.1421128186
865	0.1420353976
866	0.1419073823
867	0.1417900432
868	0.141674661
869	0.1415449365
870	0.1413633421
871	0.1411228923
872	0.1408985559
873	0.140576214
874	0.1403364826
875	0.1402019154
876	0.1401310834
877	0.1400121342
878	0.1399171879
879	0.1398087539
880	0.1397314443
881	0.1395387154
882	0.1393797738
883	0.1392871559
884	0.1390865252
885	0.1390545709
886	0.1388786613
887	0.1387951962
888	0.1386696085
889	0.13858732
890	0.1385128715
891	0.1384305335
892	0.1383269669
893	0.1382562588
894	0.1382139875
895	0.1379837432
896	0.1378218663
897	0.1376489664
898	0.1375800541
899	0.1375494623
900	0.1374763018
901	0.1373837954
902	0.13731144
903	0.1371129519
904	0.1370241239
905	0.1368556828
906	0.13676927
907	0.1367072564
908	0.1365865484
909	0.1364322514
910	0.1362362156
911	0.136167229
912	0.1360128824
913	0.1359570739
914	0.1358456054
915	0.1358161282
916	0.1357925341
917	0.1357153979
918	0.135669089
919	0.1354700559
920	0.1353901454
921	0.1351918803
922	0.1351313653
923	0.1349812792
924	0.1348496474
925	0.1347505891
926	0.1346920435
927	0.1344782842
928	0.1343729341
929	0.1343072792
930	0.1341933461
931	0.1341264898
932	0.1340429752
933	0.1338395453
934	0.1337624092
935	0.1336943886
936	0.1336119639
937	0.1334742261
938	0.1333735454
939	0.1331535438
940	0.13293623
941	0.1327904169
942	0.1327273257
943	0.1325260138
944	0.1322795075
945	0.1320849456
946	0.1319471334
947	0.1318976415
948	0.1318196755
949	0.1317391457
950	0.1315969492
