iter	Passed	Remaining
0	2	2382
1	4	2363
2	6	2195
3	10	2678
4	17	3384
5	20	3316
6	23	3320
7	44	5499
8	54	6012
9	57	5727
10	61	5553
11	64	5281
12	65	4998
13	68	4791
14	70	4620
15	72	4468
16	74	4335
17	76	4149
18	77	4019
19	79	3913
20	81	3783
21	83	3713
22	85	3645
23	87	3574
24	90	3515
25	91	3430
26	93	3368
27	95	3308
28	96	3230
29	98	3184
30	100	3155
31	104	3159
32	106	3132
33	109	3097
34	110	3044
35	111	2988
36	113	2962
37	116	2945
38	117	2891
39	119	2864
40	121	2837
41	123	2807
42	125	2783
43	127	2769
44	130	2763
45	134	2780
46	137	2791
47	140	2788
48	143	2791
49	146	2779
50	148	2764
51	150	2747
52	152	2729
53	155	2715
54	157	2708
55	159	2688
56	161	2672
57	163	2655
58	165	2643
59	168	2640
60	170	2625
61	172	2610
62	174	2592
63	176	2576
64	178	2561
65	179	2545
66	181	2529
67	183	2521
68	185	2499
69	187	2489
70	189	2479
71	192	2477
72	194	2465
73	195	2452
74	197	2441
75	200	2434
76	202	2425
77	204	2415
78	206	2401
79	207	2388
80	209	2375
81	211	2362
82	212	2351
83	215	2355
84	218	2348
85	219	2329
86	220	2317
87	222	2306
88	224	2295
89	226	2290
90	228	2283
91	230	2270
92	231	2254
93	233	2245
94	234	2238
95	236	2231
96	239	2227
97	241	2226
98	244	2221
99	245	2213
100	247	2204
101	249	2194
102	250	2185
103	252	2179
104	254	2172
105	256	2163
106	258	2156
107	260	2149
108	262	2143
109	263	2135
110	265	2127
111	267	2118
112	269	2113
113	271	2108
114	273	2105
115	276	2104
116	278	2102
117	281	2107
118	284	2106
119	287	2111
120	291	2114
121	293	2110
122	295	2110
123	298	2109
124	311	2182
125	315	2185
126	317	2180
127	320	2181
128	322	2175
129	323	2167
130	325	2160
131	327	2153
132	329	2146
133	331	2140
134	333	2136
135	335	2129
136	337	2123
137	338	2116
138	340	2109
139	342	2101
140	343	2094
141	345	2086
142	347	2082
143	349	2079
144	352	2076
145	354	2074
146	357	2073
147	359	2070
148	361	2066
149	363	2062
150	366	2059
151	368	2055
152	370	2050
153	372	2047
154	377	2057
155	379	2053
156	381	2047
157	383	2042
158	384	2032
159	385	2021
160	386	2011
161	387	2005
162	389	2002
163	393	2005
164	395	2003
165	398	2004
166	401	2000
167	406	2012
168	409	2013
169	411	2007
170	412	2000
171	413	1990
172	415	1985
173	417	1980
174	419	1976
175	421	1972
176	423	1969
177	425	1964
178	427	1958
179	428	1952
180	430	1947
181	432	1943
182	434	1938
183	436	1933
184	437	1928
185	439	1922
186	441	1917
187	442	1911
188	444	1906
189	445	1897
190	446	1893
191	449	1890
192	451	1886
193	452	1881
194	454	1876
195	456	1871
196	458	1866
197	459	1861
198	461	1857
199	463	1852
200	465	1850
201	467	1846
202	469	1842
203	470	1837
204	472	1831
205	474	1827
206	475	1823
207	478	1821
208	480	1817
209	481	1810
210	483	1806
211	485	1804
212	487	1800
213	488	1795
214	491	1792
215	493	1789
216	494	1785
217	496	1781
218	498	1778
219	501	1778
220	503	1775
221	506	1773
222	508	1770
223	510	1766
224	511	1762
225	513	1757
226	515	1753
227	516	1749
228	518	1746
229	520	1741
230	522	1738
231	523	1734
232	525	1729
233	527	1725
234	529	1722
235	530	1718
236	532	1713
237	534	1710
238	535	1706
239	543	1719
240	545	1719
241	547	1715
242	549	1712
243	552	1712
244	554	1707
245	555	1703
246	557	1699
247	559	1695
248	560	1691
249	562	1686
250	564	1684
251	566	1681
252	568	1678
253	570	1675
254	571	1670
255	573	1666
256	575	1662
257	576	1658
258	578	1655
259	580	1650
260	581	1647
261	583	1643
262	585	1639
263	586	1635
264	588	1631
265	589	1627
266	591	1623
267	592	1619
268	594	1615
269	596	1613
270	598	1610
271	600	1607
272	601	1603
273	603	1599
274	605	1595
275	606	1591
276	608	1587
277	610	1584
278	612	1581
279	615	1581
280	617	1579
281	619	1576
282	620	1572
283	622	1568
284	624	1566
285	627	1565
286	628	1562
287	630	1558
288	632	1555
289	634	1553
290	645	1573
291	648	1571
292	650	1570
293	652	1567
294	654	1565
295	656	1562
296	658	1559
297	660	1556
298	661	1550
299	663	1547
300	664	1543
301	666	1540
302	667	1535
303	669	1532
304	671	1529
305	672	1526
306	674	1523
307	677	1521
308	679	1518
309	681	1516
310	683	1514
311	686	1513
312	688	1510
313	690	1507
314	691	1504
315	693	1500
316	694	1497
317	696	1493
318	698	1491
319	700	1488
320	701	1484
321	703	1481
322	705	1478
323	706	1475
324	708	1471
325	710	1468
326	711	1464
327	713	1462
328	715	1459
329	717	1456
330	718	1452
331	720	1449
332	721	1446
333	723	1442
334	724	1439
335	726	1435
336	728	1433
337	730	1430
338	732	1427
339	734	1425
340	735	1422
341	737	1419
342	739	1415
343	740	1412
344	742	1409
345	744	1406
346	745	1403
347	747	1400
348	748	1396
349	750	1393
350	751	1389
351	753	1386
352	753	1381
353	755	1378
354	757	1376
355	759	1374
356	761	1372
357	763	1369
358	765	1365
359	766	1362
360	768	1359
361	769	1356
362	771	1353
363	773	1351
364	774	1347
365	776	1345
366	778	1342
367	780	1340
368	781	1336
369	783	1333
370	784	1330
371	785	1326
372	787	1323
373	789	1320
374	790	1317
375	792	1314
376	793	1311
377	795	1308
378	796	1305
379	798	1302
380	800	1300
381	801	1297
382	804	1295
383	806	1293
384	807	1289
385	808	1286
386	810	1283
387	812	1280
388	813	1277
389	815	1275
390	817	1273
391	819	1271
392	820	1267
393	822	1264
394	824	1262
395	825	1259
396	827	1256
397	827	1252
398	829	1249
399	831	1246
400	833	1244
401	835	1242
402	837	1240
403	838	1237
404	840	1234
405	842	1232
406	843	1229
407	845	1226
408	847	1224
409	848	1221
410	849	1217
411	851	1214
412	853	1212
413	854	1210
414	857	1208
415	859	1206
416	861	1204
417	863	1201
418	864	1199
419	866	1196
420	867	1193
421	869	1191
422	871	1188
423	873	1186
424	874	1183
425	876	1181
426	878	1178
427	879	1175
428	881	1172
429	883	1170
430	884	1168
431	886	1165
432	888	1163
433	890	1160
434	891	1157
435	892	1154
436	894	1152
437	896	1149
438	898	1147
439	900	1145
440	901	1143
441	903	1140
442	904	1137
443	906	1135
444	908	1132
445	910	1130
446	912	1128
447	914	1126
448	915	1123
449	917	1121
450	919	1118
451	920	1116
452	922	1114
453	924	1112
454	926	1109
455	928	1107
456	930	1105
457	932	1103
458	933	1100
459	935	1097
460	936	1095
461	938	1092
462	939	1090
463	941	1087
464	943	1086
465	946	1084
466	948	1082
467	950	1080
468	952	1077
469	953	1075
470	955	1072
471	957	1070
472	958	1068
473	960	1066
474	962	1064
475	964	1061
476	966	1059
477	968	1057
478	969	1054
479	971	1052
480	972	1049
481	974	1047
482	976	1045
483	978	1043
484	981	1041
485	983	1039
486	985	1037
487	986	1035
488	988	1032
489	990	1030
490	991	1028
491	994	1026
492	996	1024
493	998	1022
494	1000	1020
495	1002	1018
496	1004	1016
497	1006	1014
498	1008	1012
499	1010	1010
500	1012	1008
501	1014	1006
502	1016	1004
503	1017	1001
504	1019	999
505	1021	997
506	1023	995
507	1025	992
508	1027	990
509	1028	988
510	1030	986
511	1032	983
512	1034	981
513	1036	979
514	1038	978
515	1041	976
516	1042	974
517	1044	972
518	1046	969
519	1048	967
520	1050	965
521	1052	963
522	1053	961
523	1055	958
524	1057	956
525	1059	954
526	1061	952
527	1062	950
528	1064	948
529	1066	946
530	1068	943
531	1070	941
532	1072	939
533	1073	937
534	1075	934
535	1078	933
536	1080	931
537	1081	929
538	1083	926
539	1085	924
540	1087	922
541	1089	920
542	1091	918
543	1093	916
544	1095	914
545	1097	912
546	1099	910
547	1100	908
548	1102	905
549	1103	903
550	1105	901
551	1107	899
552	1110	897
553	1111	895
554	1113	893
555	1115	890
556	1117	888
557	1118	886
558	1120	884
559	1122	881
560	1124	879
561	1126	878
562	1128	875
563	1130	873
564	1131	871
565	1133	869
566	1135	867
567	1137	864
568	1139	862
569	1141	860
570	1143	858
571	1145	857
572	1147	855
573	1149	852
574	1151	850
575	1152	848
576	1154	846
577	1156	844
578	1158	842
579	1159	839
580	1161	837
581	1162	835
582	1164	832
583	1165	830
584	1167	828
585	1169	826
586	1171	824
587	1172	821
588	1174	819
589	1175	817
590	1177	814
591	1179	812
592	1181	810
593	1183	808
594	1184	806
595	1188	805
596	1190	803
597	1192	801
598	1194	799
599	1195	797
600	1197	795
601	1199	792
602	1200	790
603	1202	788
604	1204	786
605	1205	783
606	1207	781
607	1208	779
608	1210	777
609	1212	775
610	1214	773
611	1216	771
612	1217	768
613	1219	766
614	1221	764
615	1222	762
616	1224	760
617	1226	758
618	1228	756
619	1233	756
620	1237	755
621	1250	760
622	1254	759
623	1257	757
624	1260	756
625	1262	754
626	1264	752
627	1266	750
628	1269	748
629	1272	747
630	1274	745
631	1276	743
632	1278	741
633	1280	739
634	1282	737
635	1283	734
636	1286	732
637	1288	730
638	1289	728
639	1291	726
640	1293	724
641	1294	722
642	1296	719
643	1298	717
644	1300	715
645	1302	713
646	1303	711
647	1305	709
648	1307	706
